userID,movieID,title,genre,rating
20479,442,Shit Happens,Comedy,5
57891,1064,Years of Youth,Action,3
54611,1012,Push Up 1-3,Unknown,4
10307,273,The Red Tent,Adventure,5
50245,941,Two Tigers,Comedy,5
847,118,Untitled Noir Thriller,Crime,5
59094,1083,Dear Jo,Drama,4
50769,949,Ramadhan dan Ramona,Comedy,2
58803,1078,Timeless,Action,5
41043,795,Billy v Praze,Comedy,3
38147,747,Szinglik éjszakája,Action,4
22798,478,I Have a Bad Feeling About This,Adventure,5
17606,393,The Window,Drama,4
55394,1027,Final Take,Horror,5
1791,135,I Am Not,Documentary,2
57721,1061,Samurai Hustle Returns,Action,1
17192,387,Ghosted,Comedy,4
51006,953,Ek Tukro Chand,Drama,5
32676,647,Le Sahara n'est pas à vendre,Documentary,4
30541,609,Where Is Auschwitz?,Documentary,5
50481,943,She Is Not My Sister,Comedy,3
31469,624,Dandayatra,Unknown,4
12406,309,Shrew's Nest,Thriller,1
18148,404,At Sea,Documentary,1
26933,550,El disputado voto del Sr. Cayo,Drama,4
4671,183,Nascar Nextel Cup Series 2004,Documentary,1
51536,962,Dixie,Biography,4
3055,154,Loka,Fantasy,4
8942,253,"Prends, Seigneur, prends",Documentary,5
17570,392,Love Dot Com,Drama,3
37973,744,3rd Vol. 2: 2 Light House,Documentary,2
27586,559,Herman's House,Crime,3
34771,687,The Empire in Africa,Documentary,1
56843,1048,Muscle,Thriller,4
5435,195,The Nature of the Beast,Drama,3
46151,877,Casta diva,Biography,2
42998,828,Astoria,Adventure,4
38440,753,Parolado,Action,2
59767,1092,Natsukashiki chikarâ,Unknown,5
56428,1041,Wild,Comedy,5
26756,548,Toni Morrison: The Pieces I Am,Documentary,4
47487,897,Only the Devil Lives Without Hope,Documentary,4
17239,388,La septième dimension,Fantasy,5
6434,210,Playing Bad,Drama,5
1174,123,Roméo et Juliette - Met Opera,Unknown,4
39063,763,Tommaso Blu,Drama,4
44288,846,Abagoba Ebirooto,Drama,3
48737,917,Gap Year,Documentary,2
31868,631,The Good Boss,Comedy,2
55084,1021,Tracing to Expo '70,Unknown,2
6912,217,The South Is Back,Documentary,5
1333,126,Naughty Ninja Girls,Adult,1
17294,389,The Name of This Film Is Dogme95,Documentary,5
37586,737,40 Point Plan,Drama,2
35892,706,Emem and Angie,Drama,4
31270,619,Swabhimaan,Drama,3
34711,686,Prema Ishq Kaadhal,Drama,2
49235,925,Daddy Coded,Comedy,5
36576,719,Km 224,Drama,3
37475,735,"Pau Riba, l'home còsmic",Documentary,3
29337,585,No Straight Lines: The Rise of Queer Comics,Documentary,2
24909,517,A Man and His Rod,Comedy,4
44883,857,"Wax Print: 1 Fabric, 4 Continents, 200 Years of History",Documentary,5
19760,431,#Iamhere,Comedy,4
6666,214,A Matter of Size,Adult,5
36719,722,Water Mafia,Crime,3
17890,400,Futatsu no shi,Unknown,2
48362,911,Mylove Lost,Comedy,2
5760,201,Music to My Ears,Comedy,4
9265,257,For the Birds,Romance,4
5562,197,Haru no umi,Unknown,5
45292,863,A Million Bid,Drama,4
58769,1078,Timeless,Action,4
29624,591,Mujhe Seene Se Laga Lo,Unknown,5
4043,171,Anamorphia,Drama,4
27610,560,Seven Month Old Genius,Unknown,5
55245,1024,Nise Ôkubo,Unknown,4
59186,1084,Mr. Easy Loo,Comedy,1
35752,703,Triad,Drama,5
13923,336,Dalawayi,Drama,5
36315,714,The Deadly Call,Horror,4
30503,608,Samuel: Hollywood vs. Hollywood,Biography,1
47080,890,The People vs. Larry Flynt,Biography,4
51125,955,Enemies of Peace - Preventing the Next War in the Middle East,Documentary,4
41477,802,Anadolu masallari,Documentary,5
27403,556,The Backside of the Story,Crime,5
42540,820,House of Cards,Comedy,4
40552,785,Stage Madness,Drama,5
9194,256,Deadly Maria,Drama,3
54865,1017,Du sexe à la une,Unknown,5
17536,392,Love Dot Com,Drama,3
16423,373,Alien: Fata Morgana,Action,5
38747,758,Keine Lieder über Liebe,Drama,4
8722,249,What About Columbus,Documentary,2
11255,291,"Game Over, Man!",Action,5
6005,204,Dead Reckoning,Thriller,2
42558,821,El arte de la fuga,Documentary,1
41295,798,Pandemonium,Drama,3
59730,1092,Natsukashiki chikarâ,Unknown,1
56817,1047,Gun Girls,Crime,5
905,119,Nobody,Drama,4
16099,368,Respice Finem,Documentary,5
47873,903,Sell Your House,Documentary,4
20197,438,Âmida shigure,Drama,5
